symbol_id,date,open,high,low,close,volume
3,2018-10-01,56.91,56.95,55.53,55.58,12727584
3,2018-10-02,55.55,56.01,55.29,55.59,12680838
3,2018-10-03,55.8,56.11,55.46,55.47,7383546
3,2018-10-04,55.78,56.08,55.5,55.89,9722043
3,2018-10-05,55.95,55.95,55.305,55.76,9734042
3,2018-10-08,55.82,56.75,55.45,56.54,9624260
3,2018-10-09,56.83,59.7,56.81,57.71,24855700
3,2018-10-10,57.67,57.87,55.94,56.01,14190452
3,2018-10-11,55.7,56.27,54.705,54.86,15316853
3,2018-10-12,55.71,56.78,55.28,56.45,13980461
3,2018-10-15,56.37,57.19,56.3105,56.75,10175142
3,2018-10-16,56.94,58.01,56.77,57.81,11731398
3,2018-10-17,57.9,59.395,57.78,59.1,14631015
3,2018-10-18,59,59.53,58.15,58.64,12184673
3,2018-10-19,58.39,59.07,58.39,58.66,10180500
3,2018-10-22,58.93,59.36,58.58,58.9,8680150
3,2018-10-23,58.36,59.3,58.21,58.81,12834169
3,2018-10-24,58.57,59.28,57.95,58.06,12189685
3,2018-10-25,58.29,59.465,57.7,58.96,9569597
3,2018-10-26,58.04,58.36,57.39,58.07,13367726
3,2018-10-29,58.68,59.68,57.7,58.37,14412820
3,2018-10-30,58.43,58.87,57.69,58.59,14230072
3,2018-10-31,58.98,59.12,58.21,58.27,11560416
3,2018-11-01,58.3,59.07,58.07,58.63,18772357
3,2018-11-02,61.99,65.68,61.9,64.32,45572997
3,2018-11-05,63.93,65.13,63.82,64.48,23242808
3,2018-11-06,64.3,66.08,64.25,66.01,16065429
3,2018-11-07,66.29,68.21,66.04,68.16,16465020
3,2018-11-08,67.775,68.98,67.63,68.72,14081663
3,2018-11-09,68.49,68.96,68.08,68.6,8637203
3,2018-11-12,68.44,68.94,67.8,67.91,12789647
3,2018-11-13,67.94,68.28,67.1,67.41,16636978
3,2018-11-14,67.3,67.95,66.73,67.04,13350450
3,2018-11-15,66.71,67.76,66.36,67.62,15246503
3,2018-11-16,67.3,68.5306,67.09,68.16,9287882
3,2018-11-19,68.1,68.4704,67.2299,67.91,10855387
3,2018-11-20,67.39,67.88,66.76,67.18,11208855
3,2018-11-21,67.47,67.98,66.75,66.77,10978166
3,2018-11-23,66.24,66.24,65.26,65.7,7779765
3,2018-11-26,65.98,66.12,65.205,65.69,13066763
3,2018-11-27,65.46,66.55,65.31,66.08,13169085
3,2018-11-28,66.18,66.99,65.48,66.82,12867734
3,2018-11-29,66.68,67.28,66.12,66.88,9605484
3,2018-11-30,66.86,67.38,66.65,66.72,27309197
3,2018-12-03,67.37,68.055,66.66,67.5,13834742
3,2018-12-04,67.47,68.15,66.45,66.65,13555064
3,2018-12-06,66.13,66.67,65.59,66.55,17222196
3,2018-12-07,66.17,66.64,65.2,65.47,11057454
3,2018-12-10,65.47,65.8,64.45,65.49,12148308
3,2018-12-11,66.22,66.92,65.52,65.92,10903364
3,2018-12-12,66,66.93,66,66.13,11116217
3,2018-12-13,66.29,67.2243,66.13,66.91,10016213
3,2018-12-14,64.44,65.84,63.58,65.34,16834020
3,2018-12-17,65,65.625,64.0799,64.47,15143054
3,2018-12-18,64.77,65.4,64.55,64.92,10523476
3,2018-12-19,65.16,65.9,63.68,64.06,14390146
3,2018-12-20,63.61,63.8,61.4499,62.15,20264918
3,2018-12-21,62.31,63.205,61.38,61.39,23524888
3,2018-12-24,61.48,61.82,60.42,60.56,6323252
